"City","State","lat","lng"
"Andover","SD",45.369855,-97.603949
"Andover","VA",36.923445,-82.796445
"Andreas","PA",40.744932,-75.83155
"Andrew","IA",42.164053,-90.61074
"Andrews","IN",40.820278,-85.597862
"Andrews","NC",35.170731,-83.87111
"Andrews","SC",33.435562,-79.409083
"Andrews","TX",32.370377,-102.523255
"Andrews Air Force Base","MD",38.806207,-76.875551
"Aneta","ND",47.766493,-98.043481
"Aneth","UT",37.748946,-110.22691
"Angel Fire","NM",36.512495,-104.919697
"Angela","MT",46.017965,-106.99199
"Angeles","PR",18.279531,-66.80217
"Angelica","NY",42.217609,-78.090559
"Angels Camp","CA",38.052816,-120.618608
